,Freq_Ment2_Hours_Clean
Freq_Ment2_Hours_Clean,1.0
Gender_Category_Male,0.09376437366980393
Race_Categories_White,0.014852710911173702
Race_Categories_OTHER,0.009515819146826298
ParentGuardianEducation,-0.02473428139810354
Race_Categories_Hispanic,-0.026840827729979175
CareerStage_NRMNCC_4,-0.028983119791241168
Gender_Category_Gender_Other,-0.03180271620317262
Race_Categories_Black,-0.07708407129478743
